Date,Closing_Price,SMA20,Daily_Return,Direction,Streaks,Profit,Signal
2022-09-20,154.46176147460938,,,Flat,0,0.0,
2022-09-21,151.33119201660156,,-0.02,Down,-1,0.0,
2022-09-22,150.3664093017578,,-0.006,Down,-2,0.0,
2022-09-23,148.09230041503906,,-0.015,Down,-3,0.0,Buy
2022-09-26,148.42698669433594,,0.002,Up,1,0.0,Hold
2022-09-27,149.401611328125,,0.007,Up,2,1.3093109130859375,Sell
2022-09-28,147.511474609375,,-0.013,Down,-1,1.3093109130859375,
2022-09-29,140.26583862304688,,-0.049,Down,-2,1.3093109130859375,
2022-09-30,136.05235290527344,,-0.03,Down,-3,1.3093109130859375,Buy
2022-10-03,140.2362823486328,,0.031,Up,1,1.3093109130859375,Hold
2022-10-04,143.82958984375,,0.026,Up,2,1.3093109130859375,Hold
2022-10-05,144.1249237060547,,0.002,Up,3,9.381881713867188,Sell
2022-10-06,143.16998291015625,,-0.007,Down,-1,9.381881713867188,
2022-10-07,137.9129638671875,,-0.037,Down,-2,9.381881713867188,Buy
2022-10-10,138.2378692626953,,0.002,Up,1,9.706787109375,Sell
2022-10-11,136.82022094726562,,-0.01,Down,-1,9.706787109375,
2022-10-12,136.19017028808594,,-0.005,Down,-2,9.706787109375,Buy
2022-10-13,140.76792907714844,,0.034,Up,1,14.2845458984375,Sell
2022-10-14,136.22958374023438,,-0.032,Down,-1,14.2845458984375,Buy
2022-10-17,140.19696044921875,143.1813201904297,0.029,Up,1,14.2845458984375,Hold
2022-10-18,141.51612854003906,142.5340385437012,0.009,Up,2,14.2845458984375,Hold
2022-10-19,141.62442016601562,142.0486999511719,0.001,Up,3,19.67938232421875,Sell
2022-10-20,141.1616973876953,141.58846435546877,-0.003,Down,-1,19.67938232421875,Buy
2022-10-21,144.98141479492188,141.43292007446288,0.027,Up,1,19.67938232421875,Hold
2022-10-24,147.12754821777344,141.3679481506348,0.015,Up,2,19.67938232421875,Hold
2022-10-25,149.9726104736328,141.39649810791016,0.019,Up,3,28.49029541015625,Sell
2022-10-26,147.02906799316406,141.37237777709962,-0.02,Down,-1,28.49029541015625,
2022-10-27,142.5498046875,141.48657608032227,-0.03,Down,-2,28.49029541015625,Buy
2022-10-28,153.3197784423828,142.3499473571777,0.076,Up,1,39.26026916503906,Sell
2022-10-31,150.9570770263672,142.88598709106444,-0.015,Down,-1,39.26026916503906,
2022-11-01,148.30886840820312,143.10995101928714,-0.018,Down,-2,39.26026916503906,
2022-11-02,142.7761688232422,143.0425132751465,-0.037,Down,-3,39.26026916503906,
2022-11-03,136.7218017578125,142.7201042175293,-0.042,Down,-4,39.26026916503906,
2022-11-04,136.45555114746094,142.647233581543,-0.002,Down,-5,39.26026916503906,Buy
2022-11-07,136.98805236816406,142.58474273681642,0.004,Up,1,39.26026916503906,Hold
2022-11-08,137.55996704101562,142.6217300415039,0.004,Up,2,40.36468505859375,Sell
2022-11-09,132.99435424804688,142.46193923950196,-0.033,Down,-1,40.36468505859375,Buy
2022-11-10,144.8274688720703,142.66491622924806,0.089,Up,1,40.36468505859375,Hold
2022-11-11,147.61810302734375,143.2343421936035,0.019,Up,2,54.988433837890625,Sell
2022-11-14,146.21783447265625,143.5353858947754,-0.009,Down,-1,54.988433837890625,Buy
2022-11-15,147.95338439941406,143.85724868774415,0.012,Up,1,56.72398376464844,Sell
2022-11-16,146.72079467773438,144.11206741333007,-0.008,Down,-1,56.72398376464844,Buy
2022-11-17,148.6239471435547,144.48517990112302,0.013,Up,1,56.72398376464844,Hold
2022-11-18,149.18601989746094,144.69541015624998,0.004,Up,2,59.189208984375,Sell
2022-11-21,145.95162963867188,144.63661422729493,-0.022,Down,-1,59.189208984375,Buy
2022-11-22,148.0914306640625,144.54255523681644,0.015,Up,1,59.189208984375,Hold
2022-11-23,148.96905517578125,144.6395545959473,0.006,Up,2,62.206634521484375,Sell
2022-11-25,146.0502471923828,144.81457672119143,-0.02,Down,-1,62.206634521484375,
2022-11-28,142.21434020996094,144.2593048095703,-0.026,Down,-2,62.206634521484375,
2022-11-29,139.2067413330078,143.67178802490233,-0.021,Down,-3,62.206634521484375,Buy
2022-11-30,145.97134399414062,143.55491180419924,0.049,Up,1,62.206634521484375,Hold
2022-12-01,146.24745178222656,143.72847595214844,0.002,Up,2,69.24734497070312,Sell
2022-12-02,145.75439453125,144.18010559082032,-0.003,Down,-1,69.24734497070312,
2022-12-05,144.59078979492188,144.58686752319338,-0.008,Down,-2,69.24734497070312,
2022-12-06,140.92254638671875,144.7835922241211,-0.025,Down,-3,69.24734497070312,
2022-12-07,138.97994995117188,144.8545913696289,-0.014,Down,-4,69.24734497070312,Buy
2022-12-08,140.66615295410156,145.23818130493163,0.012,Up,1,70.93354797363281,Sell
2022-12-09,140.18296813964844,145.00595626831054,-0.003,Down,-1,70.93354797363281,Buy
2022-12-12,142.48056030273438,144.7490791320801,0.016,Up,1,70.93354797363281,Hold
2022-12-13,143.44696044921875,144.61053543090821,0.007,Up,2,74.19754028320312,Sell
2022-12-14,141.2183837890625,144.27378540039064,-0.016,Down,-1,74.19754028320312,
2022-12-15,134.6016845703125,143.66782989501954,-0.047,Down,-2,74.19754028320312,
2022-12-16,132.6393585205078,142.8686004638672,-0.015,Down,-3,74.19754028320312,
2022-12-19,130.52911376953125,141.93575515747074,-0.016,Down,-4,74.19754028320312,
2022-12-20,130.46009826660156,141.16117858886722,-0.001,Down,-5,74.19754028320312,Buy
2022-12-21,133.56631469726562,140.43492279052734,0.024,Up,1,77.30375671386719,Sell
2022-12-22,130.39105224609375,139.506022644043,-0.024,Down,-1,77.30375671386719,
2022-12-23,130.0261993408203,138.70482025146484,-0.003,Down,-2,77.30375671386719,
2022-12-27,128.2216339111328,138.00518493652345,-0.014,Down,-3,77.30375671386719,
2022-12-28,124.28715515136719,137.25920562744142,-0.031,Down,-4,77.30375671386719,Buy
2022-12-29,127.80747985839844,136.3510124206543,0.028,Up,1,77.30375671386719,Hold
2022-12-30,128.12306213378906,135.44479293823244,0.002,Up,2,81.13966369628906,Sell
2023-01-03,123.33065032958984,134.32360572814943,-0.037,Down,-1,81.13966369628906,Buy
2023-01-04,124.60271453857422,133.32420196533204,0.01,Up,1,82.41172790527344,Sell
2023-01-05,123.28133392333984,132.4421413421631,-0.011,Down,-1,82.41172790527344,Buy
2023-01-06,127.81736755371094,131.88401222229004,0.037,Up,1,82.41172790527344,Hold
2023-01-09,128.33999633789062,131.2677043914795,0.004,Up,2,82.41172790527344,Hold
2023-01-10,128.9119415283203,130.7041530609131,0.004,Up,3,82.41172790527344,Hold
2023-01-11,131.63356018066406,130.16180305480958,0.021,Up,4,90.76395416259766,Sell
2023-01-12,131.55465698242188,129.56718788146975,-0.001,Down,-1,90.76395416259766,Buy
2023-01-13,132.88587951660156,129.15056266784669,0.01,Up,1,90.76395416259766,Hold
2023-01-17,134.0494842529297,129.12295265197753,0.009,Up,2,93.25878143310547,Sell
2023-01-18,133.3296356201172,129.157466506958,-0.005,Down,-1,93.25878143310547,Buy
2023-01-19,133.3887939453125,129.30045051574706,0.0,Flat,1,93.25878143310547,Hold
2023-01-20,135.95262145996094,129.57507667541503,0.019,Up,2,93.25878143310547,Hold
2023-01-23,139.1475830078125,129.8541400909424,0.024,Up,3,93.25878143310547,Hold
2023-01-24,140.54782104492188,130.3619785308838,0.01,Up,4,100.47696685791016,Sell
2023-01-25,139.8871612548828,130.8550266265869,-0.005,Down,-1,100.47696685791016,Buy
2023-01-26,141.95797729492188,131.54184379577637,0.015,Up,1,100.47696685791016,Hold
2023-01-27,143.90054321289062,132.52251319885255,0.014,Up,2,104.49034881591797,Sell
2023-01-30,141.0113067626953,133.1827045440674,-0.02,Down,-1,104.49034881591797,Buy
2023-01-31,142.28335571289062,133.89071922302247,0.009,Up,1,104.49034881591797,Hold
2023-02-01,143.40748596191406,134.89456100463866,0.008,Up,2,104.49034881591797,Hold
2023-02-02,148.7225341796875,136.10055198669434,0.037,Up,3,104.49034881591797,Hold
2023-02-03,152.35134887695312,137.554052734375,0.024,Up,4,115.83039093017578,Sell
2023-02-06,149.61988830566406,138.64417877197266,-0.018,Down,-1,115.83039093017578,Buy
2023-02-07,152.49928283691406,139.85214309692384,0.019,Up,1,118.70978546142578,Sell
2023-02-08,149.80723571777344,140.89690780639648,-0.018,Down,-1,118.70978546142578,
2023-02-09,148.77183532714844,141.75382156372072,-0.007,Down,-2,118.70978546142578,Buy
2023-02-10,149.1372528076172,142.63295135498046,0.002,Up,1,118.70978546142578,Hold
2023-02-13,151.94203186035156,143.58575897216798,0.019,Up,2,121.8799819946289,Sell
2023-02-14,151.3000946044922,144.44828948974612,-0.004,Down,-1,121.8799819946289,Buy
2023-02-15,153.40370178222656,145.45199279785157,0.014,Up,1,123.98358917236328,Sell
2023-02-16,151.8037872314453,146.37274246215821,-0.01,Down,-1,123.98358917236328,
2023-02-17,150.65818786621094,147.10802078247073,-0.008,Down,-2,123.98358917236328,
2023-02-21,146.63861083984375,147.4825721740723,-0.027,Down,-3,123.98358917236328,Buy
2023-02-22,147.0633087158203,147.80834655761723,0.003,Up,1,123.98358917236328,Hold
2023-02-23,147.5471954345703,148.19134826660158,0.003,Up,2,124.89217376708984,Sell
2023-02-24,144.8905487060547,148.3379768371582,-0.018,Down,-1,124.89217376708984,Buy
2023-02-27,146.08558654785156,148.44722900390624,0.008,Up,1,126.08721160888672,Sell
2023-02-28,145.58189392089844,148.6757583618164,-0.003,Down,-1,126.08721160888672,
2023-03-01,143.50796508789062,148.73698883056642,-0.014,Down,-2,126.08721160888672,Buy
2023-03-02,144.1005096435547,148.77164001464845,0.004,Up,1,126.08721160888672,Hold
2023-03-03,149.15701293945312,148.79336395263672,0.035,Up,2,126.08721160888672,Hold
2023-03-06,151.92230224609375,148.77191162109375,0.019,Up,3,134.50154876708984,Sell
2023-03-07,149.71994018554688,148.7769142150879,-0.014,Down,-1,134.50154876708984,Buy
2023-03-08,150.9741973876953,148.700659942627,0.008,Up,1,135.75580596923828,Sell
2023-03-09,148.72242736816406,148.6464195251465,-0.015,Down,-1,135.75580596923828,
2023-03-10,146.65841674804688,148.54074859619143,-0.014,Down,-2,135.75580596923828,Buy
2023-03-13,148.60394287109375,148.51408309936525,0.013,Up,1,135.75580596923828,Hold
2023-03-14,150.69766235351562,148.45186462402344,0.014,Up,2,135.75580596923828,Hold
2023-03-15,151.09271240234375,148.441495513916,0.003,Up,3,135.75580596923828,Hold
2023-03-16,153.917236328125,148.46717224121093,0.019,Up,4,143.0146255493164,Sell
2023-03-17,153.07778930664062,148.5308723449707,-0.005,Down,-1,143.0146255493164,Buy
2023-03-20,155.44801330566406,148.77036361694337,0.015,Up,1,143.0146255493164,Hold
2023-03-21,157.30470275878906,149.30366821289067,0.012,Up,2,147.24153900146484,Sell
2023-03-22,155.87269592285156,149.7441375732422,-0.009,Down,-1,147.24153900146484,Buy
2023-03-23,156.95901489257812,150.2147285461426,0.007,Up,1,147.24153900146484,Hold
2023-03-24,158.2626495361328,150.8833335876465,0.008,Up,2,149.6314926147461,Sell
2023-03-27,156.3170928955078,151.39490890502933,-0.012,Down,-1,149.6314926147461,
2023-03-28,155.6949005126953,151.90055923461918,-0.004,Down,-2,149.6314926147461,Buy
2023-03-29,158.7762451171875,152.66397323608402,0.02,Up,1,149.6314926147461,Hold
2023-03-30,160.3465118408203,153.47627334594728,0.01,Up,2,149.6314926147461,Hold
2023-03-31,162.85496520996094,154.16117095947266,0.016,Up,3,149.6314926147461,Hold
2023-04-03,164.1092529296875,154.77051849365233,0.008,Up,4,158.04584503173828,Sell
2023-04-04,163.57595825195312,155.46331939697265,-0.003,Down,-1,158.04584503173828,
2023-04-05,161.72915649414062,156.0010673522949,-0.011,Down,-2,158.04584503173828,Buy
2023-04-06,162.61798095703125,156.69584503173826,0.005,Up,1,158.9346694946289,Sell
2023-04-10,160.02059936523438,157.36395416259765,-0.016,Down,-1,158.9346694946289,
2023-04-11,158.8058624267578,157.8740501403809,-0.008,Down,-2,158.9346694946289,
2023-04-12,158.1145477294922,158.2448944091797,-0.004,Down,-3,158.9346694946289,Buy
2023-04-13,163.50682067871094,158.86559982299806,0.034,Up,1,164.32694244384766,Sell
2023-04-14,163.1611785888672,159.32779693603518,-0.002,Down,-1,164.32694244384766,Buy
2023-04-17,163.180908203125,159.83295288085938,0.0,Flat,1,164.32694244384766,Hold
2023-04-18,164.405517578125,160.28082809448242,0.008,Up,2,164.32694244384766,Hold
2023-04-19,165.55116271972656,160.6931510925293,0.007,Up,3,166.71692657470703,Sell
2023-04-20,164.5832977294922,161.12868118286133,-0.006,Down,-1,166.71692657470703,
2023-04-21,162.97352600097656,161.4294067382813,-0.01,Down,-2,166.71692657470703,Buy
2023-04-24,163.27967834472656,161.68025817871097,0.002,Up,1,167.02307891845703,Sell
